image,model,total_det,ambel_count,lencu_count,polav_count,polpe_count
DJI_0971,YOLOv11x@1024 (Original),95,5,84,2,4
DJI_0971,YOLOv11l@2048 (Maaferna),59,15,43,1,0
DJI_0971,YOLOv11l@2048 (Retrained),62,8,51,1,2
DJI_0750,YOLOv11x@1024 (Original),96,2,84,2,8
DJI_0750,YOLOv11l@2048 (Maaferna),38,8,28,2,0
DJI_0750,YOLOv11l@2048 (Retrained),36,6,28,0,2
DJI_0502,YOLOv11x@1024 (Original),101,3,91,5,2
DJI_0502,YOLOv11l@2048 (Maaferna),57,9,45,3,0
DJI_0502,YOLOv11l@2048 (Retrained),58,6,46,6,0
DJI_0632,YOLOv11x@1024 (Original),350,57,285,4,4
DJI_0632,YOLOv11l@2048 (Maaferna),255,157,90,8,0
DJI_0632,YOLOv11l@2048 (Retrained),300,159,134,3,4
DJI_0934,YOLOv11x@1024 (Original),351,121,212,8,10
DJI_0934,YOLOv11l@2048 (Maaferna),281,197,81,3,0
DJI_0934,YOLOv11l@2048 (Retrained),386,248,127,9,2
DJI_0557,YOLOv11x@1024 (Original),333,51,271,4,7
DJI_0557,YOLOv11l@2048 (Maaferna),176,98,52,26,0
DJI_0557,YOLOv11l@2048 (Retrained),199,105,74,19,1
DJI_0922,YOLOv11x@1024 (Original),332,60,262,0,10
DJI_0922,YOLOv11l@2048 (Maaferna),194,123,67,4,0
DJI_0922,YOLOv11l@2048 (Retrained),231,147,75,9,0
DJI_0812,YOLOv11x@1024 (Original),1424,170,1187,3,64
DJI_0812,YOLOv11l@2048 (Maaferna),1163,699,438,6,20
DJI_0812,YOLOv11l@2048 (Retrained),907,549,269,0,89
DJI_0638,YOLOv11x@1024 (Original),1571,185,1334,2,50
DJI_0638,YOLOv11l@2048 (Maaferna),1078,751,310,4,13
DJI_0638,YOLOv11l@2048 (Retrained),1093,697,338,0,58
DJI_0882,YOLOv11x@1024 (Original),1653,78,611,1,963
DJI_0882,YOLOv11l@2048 (Maaferna),1058,219,219,0,620
DJI_0882,YOLOv11l@2048 (Retrained),1381,165,167,0,1049
